speaker,seconds,rec_date,prompt,label,TT_displacement,TT_velocity,TT_abs_velocity,TD_displacement,TD_velocity,TD_abs_velocity,index,file,ipu,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel,voicing_start,voicing_end,voicing_duration,voiced_points,GONS,max,NOFF,NONS,peak1,peak2,c1_duration,c1_clos_duration,c1_vot,c1_rvoff,v1_duration,c2_duration,c2_clos_duration,v2_duration,v_v,word_duration,sentence_duration,language,sex,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,speech_rate,speech_rate_c
it09,0.977,05/02/2018 12:08:34,Dico podo lentamente,NOFF_TT,83.8419,-5.146,3.6354,76.6628,22.2702,22.1024,6,it09-006,ipu_6,podo,11.314966,0.5292970657596374,1.7642630657596374,0.7481985417423012,1.0457586199307407,0.8392970657596379,0.9292970657596378,0.9892970657596364,0.8231527242303613,0.9804089869542204,0.8419679737897051,0.9796283208197032,137.66034702999818,5,0.978,0.9755,0.977,0.958,0.9045,0.991,91.09852401733676,74.95418248806018,18.815249559343773,106.14434152927643,89.99999999999986,59.99999999999861,51.111921194582635,56.461554171104325,149.99999999999847,297.56007818843955,1.234966,Italian,f,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal,6.477911132776125,0.9748528403826082
it09,0.958,05/02/2018 12:08:34,Dico podo lentamente,NONS_TT,84.7976,39.4173,42.5453,76.3545,23.3078,23.4871,6,it09-006,ipu_6,podo,11.314966,0.5292970657596374,1.7642630657596374,0.7481985417423012,1.0457586199307407,0.8392970657596379,0.9292970657596378,0.9892970657596364,0.8231527242303613,0.9804089869542204,0.8419679737897051,0.9796283208197032,137.66034702999818,5,0.978,0.9755,0.977,0.958,0.9045,0.991,91.09852401733676,74.95418248806018,18.815249559343773,106.14434152927643,89.99999999999986,59.99999999999861,51.111921194582635,56.461554171104325,149.99999999999847,297.56007818843955,1.234966,Italian,f,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal,6.477911132776125,0.9748528403826082
it09,0.9045,05/02/2018 12:08:34,Dico podo lentamente,peak1_TT,76.83,205.0495,205.3318,74.7575,37.9601,37.9047,6,it09-006,ipu_6,podo,11.314966,0.5292970657596374,1.7642630657596374,0.7481985417423012,1.0457586199307407,0.8392970657596379,0.9292970657596378,0.9892970657596364,0.8231527242303613,0.9804089869542204,0.8419679737897051,0.9796283208197032,137.66034702999818,5,0.978,0.9755,0.977,0.958,0.9045,0.991,91.09852401733676,74.95418248806018,18.815249559343773,106.14434152927643,89.99999999999986,59.99999999999861,51.111921194582635,56.461554171104325,149.99999999999847,297.56007818843955,1.234966,Italian,f,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal,6.477911132776125,0.9748528403826082
it09,0.991,05/02/2018 12:08:34,Dico podo lentamente,peak2_TT,83.0727,-13.8168,13.9046,76.9805,25.9514,25.631,6,it09-006,ipu_6,podo,11.314966,0.5292970657596374,1.7642630657596374,0.7481985417423012,1.0457586199307407,0.8392970657596379,0.9292970657596378,0.9892970657596364,0.8231527242303613,0.9804089869542204,0.8419679737897051,0.9796283208197032,137.66034702999818,5,0.978,0.9755,0.977,0.958,0.9045,0.991,91.09852401733676,74.95418248806018,18.815249559343773,106.14434152927643,89.99999999999986,59.99999999999861,51.111921194582635,56.461554171104325,149.99999999999847,297.56007818843955,1.234966,Italian,f,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal,6.477911132776125,0.9748528403826082
it09,0.8897,05/02/2018 12:08:38,Dico paga lentamente,closure_,68.2664,24.789,23.0658,82.7063,91.5099,94.0659,7,it09-007,ipu_7,paga,13.124943,0.504897648526077,1.7248976485260776,0.7189867885055694,0.9948976485260772,0.8043523847071707,0.8897179809087721,0.9248976485260768,0.7939499849154128,0.9157607261307508,0.8081710458345261,1.183028569128492,374.8575232939659,5,0.806,0.9225,0.928,0.912,0.8635,0.9675,85.36559620160133,74.96319640984339,14.221060919113349,95.76799599335928,85.36559620160133,35.17966761730473,26.04274522197869,70.0000000000004,120.54526381890607,275.9108600205078,1.2200000000000006,Italian,f,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar,6.5573770491803245,1.0543187567868078
it09,0.806,05/02/2018 12:08:38,Dico paga lentamente,GONS_TD,67.5704,2.8534,2.2697,73.251,32.6233,30.0598,7,it09-007,ipu_7,paga,13.124943,0.504897648526077,1.7248976485260776,0.7189867885055694,0.9948976485260772,0.8043523847071707,0.8897179809087721,0.9248976485260768,0.7939499849154128,0.9157607261307508,0.8081710458345261,1.183028569128492,374.8575232939659,5,0.806,0.9225,0.928,0.912,0.8635,0.9675,85.36559620160133,74.96319640984339,14.221060919113349,95.76799599335928,85.36559620160133,35.17966761730473,26.04274522197869,70.0000000000004,120.54526381890607,275.9108600205078,1.2200000000000006,Italian,f,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar,6.5573770491803245,1.0543187567868078
it09,0.9225,05/02/2018 12:08:38,Dico paga lentamente,max_TD,69.6482,105.3181,102.15,83.994,-8.5812,5.6496,7,it09-007,ipu_7,paga,13.124943,0.504897648526077,1.7248976485260776,0.7189867885055694,0.9948976485260772,0.8043523847071707,0.8897179809087721,0.9248976485260768,0.7939499849154128,0.9157607261307508,0.8081710458345261,1.183028569128492,374.8575232939659,5,0.806,0.9225,0.928,0.912,0.8635,0.9675,85.36559620160133,74.96319640984339,14.221060919113349,95.76799599335928,85.36559620160133,35.17966761730473,26.04274522197869,70.0000000000004,120.54526381890607,275.9108600205078,1.2200000000000006,Italian,f,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar,6.5573770491803245,1.0543187567868078
it09,0.928,05/02/2018 12:08:38,Dico paga lentamente,NOFF_TD,70.0731,119.751,116.5619,83.8248,-21.2784,18.5699,7,it09-007,ipu_7,paga,13.124943,0.504897648526077,1.7248976485260776,0.7189867885055694,0.9948976485260772,0.8043523847071707,0.8897179809087721,0.9248976485260768,0.7939499849154128,0.9157607261307508,0.8081710458345261,1.183028569128492,374.8575232939659,5,0.806,0.9225,0.928,0.912,0.8635,0.9675,85.36559620160133,74.96319640984339,14.221060919113349,95.76799599335928,85.36559620160133,35.17966761730473,26.04274522197869,70.0000000000004,120.54526381890607,275.9108600205078,1.2200000000000006,Italian,f,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar,6.5573770491803245,1.0543187567868078
it09,0.912,05/02/2018 12:08:38,Dico paga lentamente,NONS_TD,68.9088,71.0793,68.3517,84.0527,26.6266,29.7508,7,it09-007,ipu_7,paga,13.124943,0.504897648526077,1.7248976485260776,0.7189867885055694,0.9948976485260772,0.8043523847071707,0.8897179809087721,0.9248976485260768,0.7939499849154128,0.9157607261307508,0.8081710458345261,1.183028569128492,374.8575232939659,5,0.806,0.9225,0.928,0.912,0.8635,0.9675,85.36559620160133,74.96319640984339,14.221060919113349,95.76799599335928,85.36559620160133,35.17966761730473,26.04274522197869,70.0000000000004,120.54526381890607,275.9108600205078,1.2200000000000006,Italian,f,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar,6.5573770491803245,1.0543187567868078
it09,0.8635,05/02/2018 12:08:38,Dico paga lentamente,peak1_TD,68.068,4.1065,4.2744,79.2682,131.7921,132.0286,7,it09-007,ipu_7,paga,13.124943,0.504897648526077,1.7248976485260776,0.7189867885055694,0.9948976485260772,0.8043523847071707,0.8897179809087721,0.9248976485260768,0.7939499849154128,0.9157607261307508,0.8081710458345261,1.183028569128492,374.8575232939659,5,0.806,0.9225,0.928,0.912,0.8635,0.9675,85.36559620160133,74.96319640984339,14.221060919113349,95.76799599335928,85.36559620160133,35.17966761730473,26.04274522197869,70.0000000000004,120.54526381890607,275.9108600205078,1.2200000000000006,Italian,f,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar,6.5573770491803245,1.0543187567868078
it09,0.9675,05/02/2018 12:08:38,Dico paga lentamente,peak2_TD,77.8533,207.159,206.9931,80.8595,-77.0073,77.0988,7,it09-007,ipu_7,paga,13.124943,0.504897648526077,1.7248976485260776,0.7189867885055694,0.9948976485260772,0.8043523847071707,0.8897179809087721,0.9248976485260768,0.7939499849154128,0.9157607261307508,0.8081710458345261,1.183028569128492,374.8575232939659,5,0.806,0.9225,0.928,0.912,0.8635,0.9675,85.36559620160133,74.96319640984339,14.221060919113349,95.76799599335928,85.36559620160133,35.17966761730473,26.04274522197869,70.0000000000004,120.54526381890607,275.9108600205078,1.2200000000000006,Italian,f,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar,6.5573770491803245,1.0543187567868078
