speaker,file,word,time,f1,f2,f3,f0
it04,it04-005,pucu,7,377.21901453853815,532.7713215236794,2720.926935985158,200.09696282886878
it04,it04-005,pucu,8,390.55616984082513,586.4623440969856,2870.906701155381,205.62350634953393
it04,it04-005,pucu,9,398.35988983889564,532.2405069336007,2959.023553099208,207.02266982221892
it04,it04-006,pogo,1,499.3681076987602,886.5813085969158,3086.3876055975784,144.80058789829917
it04,it04-006,pogo,2,517.3813964047295,889.0451550032249,1785.671579084101,144.12056589544108
it04,it04-006,pogo,3,518.857351770436,880.4994562846766,3214.777307411527,144.86744479981732
it04,it04-006,pogo,4,503.5232426251134,853.1381783210156,2878.2223836027983,148.92448116914616
it04,it04-006,pogo,5,507.9096736754736,870.6116881112157,3127.291694057125,155.83821474259443
it04,it04-006,pogo,6,505.22766141813213,833.8519241310468,3085.1598605764184,160.3784679564689
it04,it04-006,pogo,7,496.3885408596849,845.0831820909318,3152.9219442537387,165.6828802222254
it04,it04-006,pogo,8,493.12810970735626,864.1575445289693,3148.9422914028073,170.41338847812204
it04,it04-006,pogo,9,485.21642258125826,872.9369438425224,3129.6382283236803,172.56201919712703
it04,it04-007,podo,1,473.42683704344597,851.9504966895388,2892.9243660094344,164.25392690757522
it04,it04-007,podo,2,475.94115331315044,861.4419761906848,3006.555330536507,162.63566764306916
it04,it04-007,podo,3,485.0401522752021,885.4460768871513,3018.4621540488606,164.6242428396377
it04,it04-007,podo,4,489.368915902892,891.5767037606332,3057.019154316766,166.67518214768765
it04,it04-007,podo,5,505.315140735349,910.8840307951427,3177.7682600002204,171.37799264887218
it04,it04-007,podo,6,532.5540561492014,954.1169140112464,3263.84379131326,178.24123853407698
it04,it04-007,podo,7,532.0821734054185,992.6509040673608,2947.0299737782107,185.1386526585719
it04,it04-007,podo,8,537.3919300115398,1107.6929724925062,2795.7870218286225,189.32719766781358
it04,it04-007,podo,9,521.0778635870806,960.8694989212872,2865.116744906107,188.25531156830908
it04,it04-008,pata,1,816.7362062344457,1432.6913757573066,2403.6760035341244,153.68899292117345
it04,it04-008,pata,2,866.8130702027123,1475.81782572905,2433.6658891612765,152.88291664897378
it04,it04-008,pata,3,878.7057200699286,1457.30517212616,2653.391673997626,151.8021704657599
it04,it04-008,pata,4,898.9113361155166,1453.1979330602364,2627.215798766752,152.03663079386854
it04,it04-008,pata,5,898.0323843793587,1459.744012083922,2657.6827022968573,154.4046031384637
it04,it04-008,pata,6,849.4837874863917,1437.2932554210643,2763.2811812995765,158.23164492326836
it04,it04-008,pata,7,874.2764327598359,1494.399907466642,2577.0007238838884,163.9890356353197
it04,it04-008,pata,8,895.0135676159241,1551.0068837449471,2736.220543220668,170.36145819387997
it04,it04-008,pata,9,854.7800569515863,1609.2339200164197,2889.8788411883884,176.3906410906388
it04,it04-009,putu,1,331.1190851042942,645.3340223459768,2632.1802343045583,181.83199278463277
it04,it04-009,putu,2,334.77230027255575,652.5169534207408,2830.290034803187,181.8301106512928
it04,it04-009,putu,3,334.01634422640035,621.2899852035291,2846.3723132702075,186.1453991720325
it04,it04-009,putu,4,345.8001369708253,652.5784980690113,2673.7080392851376,191.62300583922203
it04,it04-009,putu,5,355.9304281524525,633.2378165611343,2501.882471402244,198.0385750553414
it04,it04-009,putu,6,374.7308658853661,766.3583857419388,3189.320563286044,205.4415458971005
it04,it04-009,putu,7,387.28210353179105,828.0352760444072,3092.7490125754107,212.30892278061702
it04,it04-009,putu,8,362.1610995559987,855.301050597018,3021.2480763358403,215.85624162938777
it04,it04-009,putu,9,388.4812174809556,1006.8008617120876,3041.942020841062,219.21874309762853
it04,it04-010,pugu,1,356.82754826167627,730.7234699760766,2455.799110104571,191.0218939492104
it04,it04-010,pugu,2,367.75943928090317,743.0583213935755,2573.915580139664,191.28541514553922
it04,it04-010,pugu,3,375.2177656004873,707.822852798015,2237.4034544627266,196.57127465788636
it04,it04-010,pugu,4,390.3629013702331,678.1002790970769,2185.4072874051176,204.20692310281282
it04,it04-010,pugu,5,388.7809279152753,587.9400685431999,2571.2596089204067,212.8297484112312
it04,it04-010,pugu,6,345.2319129166856,555.8688587019813,2556.5127934679986,219.7912674096555
it04,it04-010,pugu,7,352.51837100166057,606.8752980368902,2420.3426231516387,227.10522718269897
it04,it04-010,pugu,8,332.8498610983068,664.688824091094,2471.06614220822,233.99508199925162
it04,it04-010,pugu,9,356.2490559818139,666.5919509255175,2391.8141911569573,233.39419110146923
it04,it04-011,pada,1,794.5092166628543,1501.306276879241,2504.4728331722085,163.25962300227593
it04,it04-011,pada,2,848.2479785932254,1544.7419977279296,2472.911481224969,162.74059279809117
it04,it04-011,pada,3,935.3062838427098,1559.2809252609798,2497.611758465858,165.28370563812078
it04,it04-011,pada,4,987.470889343633,1590.811532193901,2421.427134470986,171.79814037359998
it04,it04-011,pada,5,991.4051023087106,1552.9276570129346,2640.4132744866697,176.48977101334418
it04,it04-011,pada,6,1010.5200016811417,1582.7106512677321,2867.377298457144,180.00846896174323
it04,it04-011,pada,7,1017.8676643441208,1612.1400129145952,2982.8635322876216,184.08587987567944
it04,it04-011,pada,8,920.0919857267946,1632.3991108028142,2814.630861939411,187.20095063409173
it04,it04-011,pada,9,765.4208170777135,1700.2244240325147,2817.114611143877,187.96270052846074
it04,it04-012,poco,1,503.3479917696669,889.4668365059763,3080.7537734612265,178.84942922097912
it04,it04-012,poco,2,505.32309217566046,917.9828841051327,3234.037115874485,176.8817284160071
it04,it04-012,poco,3,524.7361813252152,942.07760659359,3421.331406090991,177.50470554387957
it04,it04-012,poco,4,533.7143910156648,955.020337980355,3266.4079794420577,178.62813912013965
it04,it04-012,poco,5,532.7734151534046,955.9991942744543,3190.9483850645584,179.6060072172572
it04,it04-012,poco,6,537.3712823131424,953.7598741736737,3204.806687890793,180.97333753603752
it04,it04-012,poco,7,544.2145609413176,950.4023204603465,3174.167331310651,182.39046996603997
it04,it04-012,poco,8,553.4975389654776,943.7219499824171,3144.5900828607455,183.13652632393234
it04,it04-012,poco,9,609.0196117315253,936.001173303117,3134.055231640744,183.3889873843677
it04,it04-013,paga,1,762.2395957164067,1570.221351542431,2534.6923795056687,170.25218161893122
