speaker,file,rec_date,word,voicing_start,voicing_end,voicing_duration,voiced_points
it12,it12-034,07/02/2018 13:24:53,pata,1.05808195660563,1.1645422037380255,106.46024713239544,4
it12,it12-035,07/02/2018 13:24:57,pugu,0.9078733520284795,1.452208653742583,544.3353017141034,5
it12,it12-036,07/02/2018 13:25:01,podo,0.9202740140545227,1.4516179235524738,531.343909497951,5
it12,it12-037,07/02/2018 13:25:19,paca,1.2847674452327402,1.3982456595124255,113.47821427968529,1
it12,it12-038,07/02/2018 13:25:24,pogo,1.0390258784769213,1.4270449953306483,388.01911685372704,5
it12,it12-039,07/02/2018 13:25:28,pucu,1.2545845888130727,1.542860875815777,288.27628700270424,5
it12,it12-040,07/02/2018 13:25:32,poto,1.225790840625161,1.38817840621174,162.38756558657897,5
it12,it12-041,07/02/2018 13:25:37,putu,1.2110514591898975,1.5904067680466345,379.35530885673694,5
it12,it12-042,07/02/2018 13:25:41,paga,1.129933612221375,1.5257451858464457,395.8115736250707,5
it12,it12-043,07/02/2018 13:25:45,poco,1.4755009226720617,1.8502504502287247,374.749527556663,5
it12,it12-044,07/02/2018 13:25:50,pada,1.2326597723729356,1.6710791832827978,438.4194109098622,5
it12,it12-045,07/02/2018 13:25:55,pudu,1.1938501354800648,1.6353658137221125,441.5156782420477,5
it12,it12-046,07/02/2018 13:25:59,pata,1.1397795111273525,1.538286968689342,398.5074575619893,5
it12,it12-047,07/02/2018 13:26:03,pugu,0.9752223636020664,1.4794092162246717,504.18685262260533,5
it12,it12-048,07/02/2018 13:26:23,podo,1.32052171414781,1.6950597181152656,374.5380039674555,5
it12,it12-049,07/02/2018 13:26:38,paca,1.2295450322118853,1.629872049182279,400.32701697039363,5
it12,it12-050,07/02/2018 13:26:42,pogo,1.0659262227496904,1.4725723834344617,406.6461606847713,5
it12,it12-051,07/02/2018 13:26:46,pucu,1.0612480623445402,1.1947596258362043,133.51156349166416,3
it12,it12-052,07/02/2018 13:26:50,poto,0.9766196017806329,1.1175184933071847,140.89889152655178,3
it12,it12-053,07/02/2018 13:26:54,putu,1.0308543547295697,1.4289169281662977,398.06257343672803,5
it12,it12-054,07/02/2018 13:26:58,paga,0.9719433035456048,1.3928077798658518,420.86447632024704,5
it12,it12-055,07/02/2018 13:27:02,poco,1.2600254382172897,1.37730227702674,117.27683880945028,3
it12,it12-056,07/02/2018 13:27:06,pada,1.0130506092453688,1.4202874230122131,407.2368137668443,5
it12,it12-057,07/02/2018 13:27:10,pudu,0.7620786863732353,1.3142791135866063,552.2004272133711,5
it12,it12-058,07/02/2018 13:27:14,pata,1.0442938187546082,1.1915177170540894,147.22389829948114,5
it12,it12-059,07/02/2018 13:27:18,pugu,1.0973447201124071,1.5089529179351666,411.6081978227595,5
it12,it12-060,07/02/2018 13:27:23,podo,1.0409936122868932,1.5520619933958422,511.0683811089489,5
