EPG Contact [1,0]	EPG Contact [2,0]	EPG Contact [3,0]	EPG Contact [4,0]	EPG Contact [5,0]	EPG Contact [6,0]	EPG Contact [0,1]	EPG Contact [1,1]	EPG Contact [2,1]	EPG Contact [3,1]	EPG Contact [4,1]	EPG Contact [5,1]	EPG Contact [6,1]	EPG Contact [7,1]	EPG Contact [0,2]	EPG Contact [1,2]	EPG Contact [2,2]	EPG Contact [3,2]	EPG Contact [4,2]	EPG Contact [5,2]	EPG Contact [6,2]	EPG Contact [7,2]	EPG Contact [0,3]	EPG Contact [1,3]	EPG Contact [2,3]	EPG Contact [3,3]	EPG Contact [4,3]	EPG Contact [5,3]	EPG Contact [6,3]	EPG Contact [7,3]	EPG Contact [0,4]	EPG Contact [1,4]	EPG Contact [2,4]	EPG Contact [3,4]	EPG Contact [4,4]	EPG Contact [5,4]	EPG Contact [6,4]	EPG Contact [7,4]	EPG Contact [0,5]	EPG Contact [1,5]	EPG Contact [2,5]	EPG Contact [3,5]	EPG Contact [4,5]	EPG Contact [5,5]	EPG Contact [6,5]	EPG Contact [7,5]	EPG Contact [0,6]	EPG Contact [1,6]	EPG Contact [2,6]	EPG Contact [3,6]	EPG Contact [4,6]	EPG Contact [5,6]	EPG Contact [6,6]	EPG Contact [7,6]	EPG Contact [0,7]	EPG Contact [1,7]	EPG Contact [2,7]	EPG Contact [3,7]	EPG Contact [4,7]	EPG Contact [5,7]	EPG Contact [6,7]	EPG Contact [7,7]	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.6378	0.4828	Dico paca lentamente	-7.3021	8.7394	-7.7570	19.1535	-2.3917	30.4160	3.3895	40.2247	11.6859	50.6477	23.5364	57.6280	37.4160	58.4266	43.3032	56.0760	49.0795	52.1317	53.8984	49.4009	58.7829	46.4104	82.8416	26.2409	122.2677	27.1910	120.1147	36.4009	122.2677	27.1910
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.6612	0.5062	Dico paca lentamente	-5.6319	10.6054	-2.8950	21.3161	0.9320	30.3446	7.5055	39.7213	14.1005	49.9452	22.3572	58.1159	35.8793	58.7610	40.7959	57.4441	45.8590	55.4961	50.7797	52.8001	55.3240	49.7817	82.7118	26.2392	121.9821	28.4228	118.7677	38.2611	121.9821	28.4228
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:29	1.6846	0.5296	Dico paca lentamente	-5.4072	9.9470	-2.7326	19.4498	2.4271	28.3867	6.2016	36.9000	11.8728	49.7365	20.3660	56.5394	32.8149	57.3493	40.1247	55.6371	43.8394	53.7130	50.8331	49.4957	54.0574	47.7118	82.1829	26.1000	122.5667	26.9519	120.4675	36.3356	122.5667	26.9519
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:33	0.7631	0.0161	Dico pogo lentamente	-9.5296	0.1367	-13.8952	5.0661	-14.8685	9.6015	-18.8780	5.0259	9.6612	1.9024	9.3266	2.5966	-32.7785	-10.0008	9.3548	4.4245	8.0799	2.6465	9.1647	4.3887	11.3622	7.2508	109.8294	35.6597	123.5664	27.8259	121.3884	34.6785	123.5664	27.8259
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:33	0.7865	0.0395	Dico pogo lentamente	-12.5288	-6.4887	-15.7823	3.2949	-17.3373	4.3586	-23.3810	4.0983	19.2761	6.2295	-31.7177	46.0290	-25.9930	47.4599	-24.3081	46.6499	-23.4253	46.2244	-19.2665	43.8832	-2.8146	47.7612	111.7038	37.6314	123.4286	28.8357	119.7958	37.6207	123.4286	28.8357
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:33	0.8099	0.0629	Dico pogo lentamente	-8.2139	-0.8373	-11.2159	2.4172	-3.8412	18.4562	2.8078	-0.2407	5.3625	1.7612	-27.8343	12.8745	18.1049	3.0082	18.0017	4.4382	17.0169	2.6543	22.2805	7.0347	20.7358	6.5260	102.7820	34.5113	124.2121	28.4787	122.0982	34.0224	124.2121	28.4787
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:33	0.8333	0.0863	Dico pogo lentamente	-0.4214	5.1516	-0.3154	10.6386	2.8216	24.1680	-9.8432	45.4223	-7.9784	51.6172	13.2195	56.6442	26.3788	49.9941	27.0496	47.2333	37.9151	37.3759	37.7964	36.8647	38.0311	36.4701	91.3994	28.8340	123.8386	27.6856	122.8000	35.0253	123.8386	27.6856
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:33	0.8567	0.1097	Dico pogo lentamente	-14.8460	-17.2735	-16.2628	-11.5654	-19.3076	14.4188	-20.1459	26.1842	-14.7865	35.2512	-3.0786	40.0940	6.6245	38.1240	10.5877	36.4114	14.9403	34.5199	19.2919	32.7256	21.9685	30.4754	96.3610	39.3393	124.0744	27.2051	123.2424	35.5065	124.0744	27.2051
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:33	0.8801	0.1331	Dico pogo lentamente	-8.8356	-18.6817	-12.8131	-3.5391	-19.2117	6.0036	-21.9621	18.8601	-16.8892	28.5213	-7.6817	35.6352	4.1862	36.0155	9.3840	34.0149	14.0601	31.9523	19.8592	30.8391	24.0511	30.2005	93.9854	46.2995	124.0327	28.3141	123.3710	36.3818	124.0327	28.3141
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2018 13:21:33	0.9035	0.1565	Dico pogo lentamente	-5.8344	1.6149	-9.6479	5.6067	-19.9882	5.0869	-20.1516	19.3994	-19.1183	26.1526	-5.9878	36.5884	3.1604	36.6333	9.2214	35.3998	13.5900	34.0539	17.4629	33.8042	21.1190	33.4426	96.3603	39.1916	125.2169	26.4660	124.1438	35.2835	125.2169	26.4660
